1.1 Titles[1];1.2 Titles[2];2.1 ISSNs[1];2.2 ISSNs[2];3.1 Additional searchable ISSN (Electronic)[1];5 Id
Journal of Internal Medicine;;0954-6820;;1365-2796;772981
European Journal of Haematology;Eur J Haematol;0902-4441;;1600-0609;757259
British Educational Research Journal;British Educational Research Journal;0141-1926;;1469-3518;5374375
Engineering Optimization;;0305-215X;;1029-0273;5394769
Clinical and Experimental Pharmacology and Physiology;Clin Exp Pharmacol Physiol;0305-1870;;1440-1681;26614002
Journal of Radiological Protection;J Radiol Prot;0952-4746;;1361-6498;777673
Smart Materials and Structures;;0964-1726;;1361-665X;794068
Journal of Pharmacy and Pharmacology;J Pharm Pharmacol;0022-3573;;2042-7158;770275
Respirology;;1323-7799;;1440-1843;791892
Philosophy of Science;;0031-8248;;1539-767X;2108361
Neurourology and Urodynamics;Neurourol Urodyn;0733-2467;;1520-6777;784404
Journal of Pathology;J Pathol;0022-3417;;1096-9896;5043164
APMIS;;0903-4641;;1600-0463;740515
Semiconductor Science and Technology;Semicond. Sci. Technol.;0268-1242;;1361-6641;1792555
Renaissance Quarterly;;0034-4338;;1935-0236;791502
Biotechnology and Bioengineering;Biotechnol Bioeng;0006-3592;;1097-0290;2210685
Transfusion;TRANSFUSION;0041-1132;;1537-2995;798852
Biotechnology Progress;;8756-7938;;1520-6033;2364925
Medical Education;Med Educ;0308-0110;;1365-2923;781647
Publications of the Astronomical Society of the Pacific;;0004-6280;;1538-3873;19571190
Journal of Micromechanics and Microengineering;J. Micromech. Microeng.;0960-1317;;1361-6439;2303115
Journal of Biomechanical Engineering;J Biomech Eng;0148-0731;;1528-8951;772789
Applied Mechanics Reviews;;0003-6900;;2379-0407;36918291
Journal of Clinical Pharmacology;J. Clin. Pharmacol.;0091-2700;;1552-4604;778619
European Journal of Clinical Investigation;;0014-2972;;1365-2362;755235
British Journal of Clinical Pharmacology;;0306-5251;;1365-2125;748028
British Journal of Dermatology;Br J Dermatol;0007-0963;;1365-2133;748090
The Journal of Politics;;0022-3816;;1468-2508;16189658
British Journal of Pharmacology;Br. J. Pharmacol.;0007-1188;;1476-5381;1762402
British Journal of Surgery;;0007-1323;;1365-2168;748231
European Journal of Neurology;Eur J Neurol;1351-5101;;1468-1331;758811
European Journal of Oral Sciences;;0909-8836;;1600-0722;35926253
Wireless Personal Communications;;0929-6212;;1572-834X;794893
Transplant International;Transpl Int;0934-0874;;1432-2277;798910
Nature and Science;;1545-0740;;2375-7167;783707
British Journal of Haematology;Brit. J. Haematol;0007-1048;;1365-2141;748107
WIT Transactions on The Built Environment;;1746-4498;;1743-3509;2190883
The British Journal of Psychiatry;;0007-1250;;1472-1465;32192952
