Oklahoma Native Plant Record	2379-4011
Caspian Journal of Health Research	2423-8171
Gates Open Research	2572-4754
University of Sindh Journal of Information and Communication Technology	2523-1235
Methodological Innovations	2059-7991
Caspian Journal of Internal Medicine	2008-6164
??????? ???? ? ???????? ??????	2588-3569
APL Bioengineering	2473-2877
Zaštita prirode	0514-5899
Jurnal Psikologi Teori dan Terapan	2597-9035
Jurnal Kesehatan Melayu	2597-7407
Industria: Jurnal Teknologi dan Manajemen Agroindustri	2549-3892
Patient Experience Journal	2372-0247
Japan Architectural Review	2475-8876
Apstract: Applied Studies in Agribusiness and Commerce	1789-7874
??????? ??????????? ?????	2588-0101
Revista de Studii Financiare	2537-3714
Vestnik severo-zapadnogo gosudarstvennogo medicinskogo universiteta im. I.I. Me?nikova	2618-7116
Ural Mathematical Journal	2414-3952
Acta Clinica Croatica	0353-9466
?????????? ?????????????	2520-2855
Proceedings of the Mongolian Academy of Sciences	2310-4716
Jurnal Teknologi Pertanian	1411-5131
ODONTO: Dental Journal	2460-4119
International Journal of System Modeling and Simulation	2518-0959
Arabiyatuna: Jurnal Bahasa Arab	2580-5053
HSOA Journal of Alternative, Complementary & Integrative Medicine	2470-7562
Agricultura	1221-5317
????????? ????	2251-7723
ISEL Academic Journal of Electronics, Telecommunications and Computers	2182-4010
Caspian Journal of Environmental Sciences	1735-3866
Exlibris	2314-3894
Ankara Avrupa Çal??malar? Dergisi	1303-2518
Ankara Üniversitesi Dil ve Tarih-Co?rafya Fakültesi Dergisi	2459-0150
Geomatika	0854-2759
Jurnal Bisnis dan Manajemen	2442-4617
Iranian Journal of Hydrogen and Fuel Cell	2383-1618
Journal of Clinical and Basic Research	2538-3736
Revista de Osteoporosis y Metabolismo Mineral	1889-836X
Annual Review of Chaos Theory, Bifurcations and Dynamical Systems	2253-0371
Revista Nicolaita de Estudios Económicos	2007-9877
Inclusión & Desarrollo	2389-7341
Sociología del Trabajo	0210-8364
Transformatika: Jurnal Bahasa, Sastra, dan Pengajarannya	2549-6271
Feminismo/s	1696-8166
Revista Fuentes El Reventón Energético	1657-6527
Enfermería Dermatológica	1888-3109
Tropical Animal Science Journal	2615-790X
Uluslararas? Yönetim Bili?im Sistemleri ve Bilgisayar Bilimleri Dergisi	2618-5954
International Journal of Climate Change Strategies and Management	1756-8692
Pakistan Journal of Distance and Online Learning	2415-2021
Open Mind	2470-2986
Polish Journal of Microbiology	1733-1331
Fishery Bulletin	1937-4518
?????? ?????????? ????????????? ???????????? ???????????	2310-046X
Iraq Medical Journal	2521-8492
??????? ????????????? ??????	2499-9768
Vestnik Permskogo universiteta: Rossijskaâ i zarubežnaâ filologiâ	2073-6681
Journal of the International Association of Providers of AIDS Care	2325-9582
Chronic Stress	2470-5470
Adsorption Science & Technology	2048-4038
Geriatric Orthopaedic Surgery & Rehabilitation	2151-4593
Marketing Libraries Journal	2475-8116
DBS Business Review	2565-5280
Sekolah Dasar: Kajian Teori dan Praktik Pendidikan	2581-1983
Lingua Didaktika: Jurnal Bahasa dan Pembelajaran Bahasa	2541-0075
Jurnal Justicia Sains	2502-1788
New Materials, Compounds and Applications	2521-7194
International Journal on Smart Sensing and Intelligent Systems	1178-5608
Luz	1814-151X
Jurnal Politik	2461-0615
Acción	1812-5808
Revista Electrónica de AnestesiaR	1989-4090
JOHME: Journal of Holistic Mathematics Education	2598-6759
Cambridge Open-Review Educational Research e-Journal	2056-7804
Journal of Business and Social Review in Emerging Economies	2519-0326
Arctic, Antarctic, and Alpine Research	1938-4246
Ganendra: Majalah IPTEK Nuklir	2503-5029
Global Journal of Economic and Business	2519-9293
New Design Ideas	2522-4875
Jordanian Journal of Computers and Information Technology	2413-9351
Foods and Raw Materials	2308-4057
"??????? ??????-?????????? ???????????? ???????????? ????? ?. ?. ????????: ????? ""????????????"""	2500-2864
Jurnal ASET (Akuntansi Riset)	2541-0342
Medievalismo	1131-8155
Media Mahardhika: Media Komunikasi Ekonomi dan Manajemen	0854-0861
Journal of Science Learning	2614-6568
Jurnal Hukum & Pembangunan	2503-1465
Pediatric Investigation	2574-2272
Proceedings of the Estonian Academy of Sciences	1736-6046
Ciudades	1133-6579
International Journal of Business Administration and Management Research	2412-4346
ABC: ?asopis urgentne medicine	1451-1053
International Journal of Musculoskeletal Pain Prevention	2476-5279
Revista Ciencias Técnicas Agropecuarias	1010-2760
Revista Arbitrada Interdisciplinaria Koinonía	2542-3088
Musas	2385-7005
Artes del Ensayo	2462-5035
Journal of Engineering & Processing Management	1840-4774
Turkish Journal of Pharmaceutical Sciences	1304-530X
Revue Malienne d’Infectiologie et de Microbiologie	1987-0876
Radovi Instituta za Povijest Umjetnosti	0350-3437
JOR Spine	2572-1143
Power Electronics and Drives	2543-4292
The EuroBiotech Journal	2564-615X
Jurnal Ilmiah Teknik Sipil	2541-5484
Metodik Didaktik	2528-5653
TMR Cancer	2538-015X
TMR Non-Drug Therapy	2538-0583
TMR Modern Herbal Medicine	2537-9798
Global Challenges	2056-6646
Zhongguo Yancao Xuebao	1004-5708
Shizi Peiyu Yu Jiaoshi Zhuanye Fazhan Qikan	2071-3649
Open Economics	2451-3458
Advances in Geo-Energy Research	2208-598X
International Journal of Architecture and Urban Studies	2147-9836
????????????	2588-3011
Jurnal Ilmiah Ilmu-Ilmu Peternakan	1410-7791
Pizh?hish/n?mah-i Mab?n?-i Ta?l?m va Tarbiyat.	2251-6360
Concussion	2056-3299
???????? ?????????? ????????? ?????? ???? ? ????? ?????????? ???????? ???????????? ????: ????????, ???????? ? ?????????? ????????????? ???????? ??????????	2541-9455
Journal de l'École Polytechnique. Mathématiques	2429-7100
Advances in Educational Technology and Psychology	2371-9400
Health Science Reports	2398-8835
International Journal of Industrial Engineering and Production Research	2008-4889
Journal of Petroleum Science and Technology	2251-659X
Kurdistan Journal of Applied Research	2411-7684
Mokslo Taikomieji Tyrimai Lietuvos Kolegijose	1822-1068
Journal of Educational Sciences	2581-1657
Journal of Applied Research in Water and Wastewater	2476-6283
Asian Journal of Green Chemistry	2588-5839
RADS Journal of Biological Research & Applied Science	2521-8573
Academic Finance	1923-2993
Integers	1553-1732
Language Literacy: Journal of Linguistics, Literature, and Language Teaching	2580-9962
Webology	1735-188X
GEEJ (Getsempena English Education Journal)	2502-6801
Journal of Veterinary Medical Research	2357-0512
???? ????? ?? ???? ????????	1735-7519
Advances in Biology and Earth Sciences	2520-2847
BJPsych International	2058-6264
Chinese Journal of Mechanical Engineering	2192-8258
Journal of Cultural Analysis and Social Change	2589-1316
Maal og Minne	0024-855X
Transactions of A. Razmadze Mathematical Institute	2346-8092
Journal of Research on History of Medicine	2251-886X
Journal of Mazandaran University of Medical Sciences	1735-9260
Guerra Colonial	2603-6096
International Journal of Travel Medicine and Global Health	2322-1100
Pravni Zapisi	2217-2815
Revue Italienne d'Etudes Françaises	2240-7456
Journal Resuscitatio Balcanica	2466-2623
Alexandria Journal of Veterinary Sciences	2536-9520
Cuadernos de Historia Contemporánea	0214-400X
Process Engineering Journal	2588-1795
ESPES	1339-1119
??????? ?????????? ???????????????? ???????????? ????????????	1814-3520
????????????	2587-8026
Science & Research	2535-0765
Th?mis	1810-9934
Revista Biomédica	0188-493X
Creneida	2340-8960
Applied Journal of Environmental Engineering Science	2509-2065
Meat and Muscle Biology	2575-985X
Journal of Research in Science, Mathematics and Technology Education	2577-6789
Journal of Electronics and Information Science	2371-9524
Revista Telemática de Filosofía del Derecho	1575-7382
Poligramas	0120-4130
Allergy & Rhinology	2152-6567
Working Papers in Applied Linguistics and TESOL	2576-2907
Navigations	2574-1489
Australasian Journal of Neuroscience	1032-335X
Hrvatski geografski glasnik	1331-5854
Cultura Física y Deportes de Guantánamo	2519-9455
Ekonomija: teorija i praksa	2217-5458
Momento	0121-4470
En la España Medieval	0214-3038
Educación y Ciudad	0123-0425
NOA	0801-3284
Journal of Infection and Public Health	1876-0341
Collegium Medievale	0801-9282
CM. Communication and Media	2466-541X
Arhiv za farmaciju	0004-1963
El Taco en la Brea	2362-4191
Životné prostredie	0044-4863
"???????? ?????????? ???????????????? ????????????: ????? ""??????????"""	1997-7670
?????????, E???????, C?????	2616-7107
JMIR Medical Education	2369-3762
JMIR Cancer	2369-1999
JMIR Rehabilitation and Assistive Technologies	2369-2529
Interactive Journal of Medical Research	1929-073X
Reproductive Health Matters	1460-9576
Iberian Journal of the History of Economic Thought	2386-5768
Mediterranean Botany	2603-9109
Archive of Oncology	0354-7310
Southern African Journal of Gynaecological Oncology	2074-2835
???????? ???? ???????? ?????????? ?? ?????????? ? ?????????????	2522-9818
Journal of the Bangladesh Agricultural University	2408-8684
Annual Journal of Technical University of Varna	2603-316X
????????????? ????????	1811-0932
Trends in Psychology	2358-1883
Vivomatografías	2469-0767
Osteoporoz i osteopatii	2072-2680
Plant Direct	2475-4455
EAD em Foco	2177-8310
Publicum	2447-7982
Eikón Imago	2254-8718
Mathematical Modelling and Analysis	1392-6292
Universidad y Sociedad	2415-2897
??????? ?????????? ????????????	2307-1281
The University of Louisville Journal of Respiratory Infections	2473-2869
Public Relations Journal	1942-4604
Jurnal Pendidikan dan Kebudayaan	2460-8300
?????????????????? ?????????	1998-7102
Diagnostic Pathology	2364-4893
Sinusitis	2309-107X
High-Throughput	2571-5135
Diciottesimo Secolo	2531-4165
MDCCC 1800	2280-8841
English Literature	2385-1635
Axon	2532-6848
Rassegna Iberistica	0392-4777
The Italian Law Journal	2421-2156
Comparative Law Review	0866-9449
Creativity Studies	2345-0479
Journal of Online Higher Education	2575-1204
American Review of Politics	2374-779X
Journal of Research and Practice on the Musculoskeletal System	2585-2787
Sign Systems Studies	1406-4243
Communications Physics	2399-3650
E-Journal Ilmu dan Teknologi Kelautan Tropis	2085-6695
Fronteiras	2175-0742
Revista Gesto	2358-0216
En-claves del Pensamiento	1870-879X
FuLiA / UFMG	2526-4494
Cadernos de Pós Graduação em Letras	1809-4163
Revista UNEMAT de Contabilidade	2316-8072
Revista de Geografía Espacios	0719-0573
IXTLI	2408-4751
MALTESAS Multi-Disciplinary Research Journal	0127-6271
Science Heritage Journal	2521-0866
Pakistan Journal of Geology	2521-2923
Matrix Science Pharma	2521-0432
Matrix Science Medica	2521-0424
Matrix Science Mathematic	2521-084X
Malaysian Journal of Geosciences	2521-0602
Geological Behavior	2521-0491
Environment & Ecosystem Science	2521-0483
Engineering Heritage Journal	2521-0440
Earth Sciences Pakistan	2521-2907
Earth Science Malaysia	2521-5043
Acta Scientifica Malaysia	2521-506X
Acta Informatica Malaysia	2521-0505
Malaysian Journal of Sustainable Agriculture	2521-294X
Gastrointestinal Intervention	2213-1809
Pteridines	2195-4720
Biomolecular Concepts	1868-503X
International Journal of Operations Research	1813-7148
Journal of Chinese Pharmaceutical Sciences	1003-1057
Zbornik Radova Pravnog Fakulteta u Splitu	0584-9063
Jurnal Sistem dan Manajemen Industri	2580-2887
Praxis Filosófica	0120-4688
Decyzje	2391-761X
BAF-Online	2504-2076
Afrika Focus	0772-084X
Psikoislamedia	2503-3611
In Medias Res	1848-6304
Innovative Biosystems and Bioengineering	2616-177X
Annals: Series on Military Sciences	2066-7086
Uporedno pomorsko pravo	0353-5487
?????????? ??????	1996-4536
De Medio Aevo	2255-5889
Ekonomika Management Inovace	1804-1299
RP3. Revista de Pesquisa em Políticas Públicas	2317-921X
Panambí	0719-630X
Muzikološki Zbornik	0580-373X
SAR Journal	2619-9963
Farol. Revista de Estudos Organizacionais e Sociedade	2358-6311
Journal of Limb Lengthening & Reconstruction	2455-3719
Network Neuroscience	2472-1751
Indonesian Green Technology Journal	2355-4010
Bali Journal of Anesthesiology	2549-2276
Art Therapy Online	2044-7221
Journal of Baltic Science Education	1648-3898
Portugália	0871-4290
Revista Cubana de Hematología, Inmunología y Hemoterapia	1561-2996
Infodir	1996-3521
Journal of Dr. NTR University of Health Sciences	2277-8632
Acta Medica International	2349-0896
Journal of Orthodontic Science	2278-0203
Indian Journal of Vascular and Endovascular Surgery	2394-0999
Social Work and Society	1613-8953
Relaciones Internacionales	1699-3950
Jurnal Teknologi Informasi dan Ilmu Komputer	2355-7699
An Nabighoh	1907-1183
Majallah-i ?Ilm?-i D?nishg?h-i ?Ul?m-i Pizishk?-i Simn?n	1608-7046
Majallah-i D?nishg?h-i ’Ul?m-i Pizishk?-i ?l?m	1563-4728
Imastut'yun	1829-3824
Hospital a Domicilio	2530-5115
Anuari de Filologia. Antiqva e Mediaevalia	2014-1386
Kinesiology	1331-1441
Big Earth Data	2574-5417
Animal Cells and Systems	2151-2485
Endocrinology, Diabetes & Metabolism	2398-9238
Jurnal Gizi Indonesia: The Indonesian Journal of Nutrition	1858-4942
Türk Turizm Ara?t?rmalar? Dergisi	2587-0890
Söylem	2548-0502
Kafkas T?p Bilimleri Dergisi	2146-2631
Ege T?p Dergisi	1016-9113
International Journal of Health Services Research and Policy	2548-0359
Online Journal of Music Sciences	2536-4421
Disiplinleraras? Akademik Turizm Dergisi	2548-0847
Bulletin KNOB	2589-3343
Prajna Vihara	2586-9876
Human Reproduction Open	2399-3529
???????????????????? M????? ? T?????????	2073-7599
Distúrbios da Comunicação	0102-762X
Cambios y Permanencias	2027-5528
Revista Brasileira de Odontologia	0034-7272
Revista Prevenção de Infecção e Saúde	2446-7901
Revista Jurídica da Ufersa	2526-9488
SAPIENTIAE	2183-5063
Arteterapia	1886-6190
Sciences, Eaux & Territoires	2109-3016
Atti della Accademia Peloritana dei Pericolanti - Classe di Scienze Medico-Biologiche	1828-6550
Educación, Formación e Investigación	2422-5975
Nuevas de Indias	2462-7291
Revista Mexicana de Ciencias Políticas y Sociales	0185-1918
Rheumatology Advances in Practice	2514-1775
????? ??? ??????	2008-6253
Adam Akademi, Sosyal Bilimler Dergisi	2146-4936
Geo Journal of Tourism and Geosites	2065-0817
Journal of Basic Research in Medical Sciences	2383-0506
	
Zeitschrift der Gesellschaft für Musiktheorie	1862-6750
Methoden, Daten, Analysen	1864-6956
European Journal of Management and Business Economics	2444-8451
Preventive Care in Nursing and Midwifery Journal	2588-4441
Turkish Online Journal of English Language Teaching	2458-9918
International Journal of Creative and Arts Studies	2339-191X
Indonesian Journal of Business Finance and Accounting	2598-6309
Asia Pacific Journal of Innovation and Entrepreneurship	2071-1395
ISRA International Journal of Islamic Finance	0128-1976
Irish Journal of Occupational Therapy	2398-8819
Soils	2411-5126
Fractal and Fractional	2504-3110
Euxeinos	2296-0708
Soil Organisms	1864-6417
Culture e Studi del Sociale	2531-3975
Pathos	1593-2354
Ocula	1724-7810
Emerging Science Journal	2610-9182
Orillas. Rivista d'Ispanistica	2280-4390
European Journal of Educational Research	2165-8714
Historia i Polityka	1899-5160
?ódzkie Studia Etnograficzne	0076-0382
Journal of Modern Science	1734-2031
Intercathedra	1640-3622
Anthropology in Action	1752-2285
Torun Business Review	1643-8175
Anos 90	0104-236X
Cuadernos de Marte	1852-9879
Medisan	1029-3019
Revista de Antropología Social	1131-558X
Cuadernos de Trabajo Social	0214-0314
Horizontes y Raíces	2311-2034
Entre Caníbales	2520-078X
European Heart Journal: Case Reports	2514-2119
Revista de Derecho Político	0211-979X
Revista del Jardín Botánico Nacional	0253-5696
Jurnal Pendidikan Agama Islam	2502-2075
EQUILIBRIUM: Jurnal Ilmiah Ekonomi dan Pembelajarannya	2502-1575
Radiation Protection and Environment	2250-0995
Journal of Education and Health Promotion	2319-6440
Journal of Marketing Management and Consumer Behavior	2371-3615
Clean Energy	2515-396X
Asian Pacific Journal of Cancer Biology	2538-4635
Iraqi Journal of Chemical and Petroleum Engineering	1997-4884
Kertha Patrika	2579-9487
Journal of Engineering Mechanics and Machinery	2371-9125
Journal of Educational Sciences	1658-7863
Advanced Journal of Emergency Medicine	2588-400X
Kuramsal E?itimbilim Dergisi	1308-1659
Ormanc?l?k Ara?t?rma Dergisi	2149-0783
International Journal of Automotive Science and Technology	2587-0963
Senex: Ya?l?l?k Çal??malar? Dergisi	2602-4268
Süleyman Demirel Üniversitesi Fen-Edebiyat Fakültesi Fen Dergisi	1306-7575
Journal of Family, Counseling and Education	2548-1290
??letme Ekonomi ve Yönetim Ara?t?rmalar? Dergisi	2618-6195
Engineering Sciences	1308-7231
Commagene Journal of Biology	2602-456X
Mehmet Akif Ersoy Üniversitesi Veteriner Fakültesi Dergisi	2458-9268
Ankara Üniversitesi E?itim Bilimleri Fakültesi Dergisi	1301-3718
Lucentum	0213-2338
Publicaciones	1577-4147
Vìsnik: Kii?vs?kij Nacìonal?nij Unìversitet Imenì Tarasa Šev?enka. Bìologìâ	1728-2748
Iraqi Journal of Hematology	2543-2702
Journal of Mahatma Gandhi Institute of Medical Sciences	2347-1948
Kerala Journal of Ophthalmology	0976-6677
Proceedings of Indian National Science Academy	2454-9983
BMJ Open Quality	2399-6641
Revista Perspectivas	2590-9215
UIR Law Review	2548-7671
Epilepsi	1300-7157
Türk Kardiyoloji Derne?i Ar?ivi	1016-5169
Yemeni Journal for Medical Sciences	2227-9601
Research in Applied Mathematics	2357-0474
Jurnal Tarbiyah	0854-2627
Lisanuna: Jurnal Ilmu Bahasa Arab dan Pembelajarannya	2354-5577
Politi?ka Misao	0032-3241
Revista Científic@	2358-260X
Acute Medicine & Surgery	2052-8817
Autism & Developmental Language Impairments	2396-9415
Communications Chemistry	2399-3669
Bioelectronic Medicine	2332-8886
Codex: Revista de Estudos Clássicos	2176-1779
Revista de Direito da Faculdade Guanambi	2447-6536
Ciencias Holguín	1027-2127
Journal of Language Contact	1955-2629
Euclid	2355-1712
Global: Jurnal Politik Internasional	1411-5492
Al-Ishlah: Jurnal Pendidikan	2087-9490
Fan?var?-i ?m?zish	2345-5462
?????? ??????? ????? ???? ??????? ???????	2308-5347
The Journal of Classics Teaching	2058-6310
Fronteiras & Debates	2446-8215
Redox Report	1743-2928
Letras Escreve	2238-8060
Korean Journal of Family Medicine	2092-6715
The Korean Journal of Pain	2093-0569
Obstetrics & Gynecology Science	2287-8580
Corporate Board: Role, Duties & Composition	1810-8601
Privredna Kretanja i Ekonomska Politika	1330-187X
ARYA Atherosclerosis	1735-3955
International Journal of Nutrition Sciences	2538-1873
International Journal of Community Service Learning	2579-7166
Mathematical and Software Engineering	2367-7449
Jurnal Adabiyah	1412-6141
"Scientific Journal of Cahul ""Bogdan Petriceicu Hasdeu"" State University: Economic & Engineering Studies"	2587-313X
JOIV: International Journal on Informatics Visualization	2549-9610
3D Printing in Medicine	2365-6271
Revista de Direito	1806-8790
Revista Foro de Educación Musical, Artes y Pedagogía	2545-7101
Zbornik Pravnog Fakulteta u Zagrebu	0350-2058
GeoHealth	2471-1403
Mag?allat? Al-ku?fat? Al-handasiyyat?	2071-5528
MLS Educational Research	2603-5820
Jurnal Penelitian Bimbingan dan Konseling	2503-0833
???? ???????? ??????????	2312-5268
Insaniyat: Journal of Islam and Humanities	2614-6010
Acta Biomedica Scientifica	2541-9420
??? H????: ??????????, ?????????, ?????????????	2542-0577
Performance Philosophy	2057-7176
Journal of Governance: Jurnal Ilmu Pemerintahan Universitas Sultan Ageng Tirtayasa	2598-6465
Jurnal Kimia (Journal of Chemistry)	2599-2740
Taiwan Journal of Ophthalmology	2211-5072
ASEAN Journal on Science and Technology for Development	2224-9028
International Journal of Optomechatronics	1559-9620
Clinical Lipidology	1758-4302
Razón Crítica	2500-7807
Revista Mexicana de Ciencias Forestales	2007-1132
JKS (Jurnal Kedokteran Syiah Kuala)	1412-1026
???????? ??????????	2224-9281
Agricultural and Resource Economics	2414-584X
Revista de Ciencias Médicas de Pinar del Río	1561-3194
Revista Cubana de Medicina Militar	1561-3046
Revista Cubana de Educación Superior	0257-4314
Alcance	2411-9970
Revista da ANPEGE	1679-768X
Revista Encrucijada Americana	0718-5766
Questiones Publicitarias	1988-8732
Journal of Agricultural Science and Sustainable Production	2476-4310
International Journal of Pavement Research and Technology	1996-6814
Annals: Series on History and Archaeology (Academy of Romanian Scientists)	2066-8597
Hematology, Transfusion and Cell Therapy	2531-1379
JIBS (Jurnal Ilmiah Bahasa dan Sastra)	2355-8083
Mudra: Jurnal Seni Budaya	0854-3461
Transport	1648-4142
??????? ??????????? Y??????????? ?????? ???????: ????? ????????? ? ??????????????	2312-797X
International Journal of Advanced Research in Engineering	2412-4362
Saudi Journal of Medicine and Medical Sciences	2321-4856
Anales del Seminario de Historia de la Filosofía	1988-2564
Indian Journal of Allergy Asthma and Immunology	2320-4745
Jurnal Kimia dan Kemasan	2549-9424
Public Health Perspective Journal	2540-7945
Jurnal Ilmu Perilaku	2581-0421
J-EBIS (Jurnal Ekonomi dan Bisnis Islam)	2502-1397
Dialogia: Jurnal Studi Islam dan Sosial	1693-1149
General Letters in Mathematics	2519-9269
Heart Vessels and Transplantation	1694-7886
IRJE (Indonesian Research Journal in Education)	2580-5711
Theranostics	1838-7640
IJEMS (Indonesian Journal of Environmental Management and Sustainability)	2598-6279
Chempublish Journal	2503-4588
Revista Internacional de Investigación en Adicciones	2448-573X
Journal of Mechanism and Institution Design	2399-8458
Journal of Social Work Education and Practice	2456-2068
Buletin Penelitian Tanaman Rempah dan Obat	2527-4414
BioResources	1930-2126
Communications Biology	2399-3642
Pulmonology	2531-0429
Majallah-i D?nishg?h-i ?Ul?m-i Pizishk?-i B?bul	1561-4107
