"issn","name","main.url","type","ind.url"
"1089-3032","Electronic Journal of Geotechnical Engineering","http://www.ejge.com/","ind_journal","http://www.ejge.com/Index_ejge.htm"
"1949-2553","The Online Journal of Science and Technology","http://www.tojsat.net/","ind_journal","http://www.impactjournals.com/oncotarget/index.php?journal=oncotarget"
"1555-6336","International Academy of Business & Economics","http://www.iabe.org/","publisher","http://ejbr-journal.org/domains/EJBR-JOURNAL/Default.aspx"
"2151-4755","Scientific Research Publishing","http://www.scirp.org/","publisher","http://www.scirp.org/journal/CategoryOfJournal.aspx?CategoryID=9"
"2248-9622","International Journal of Computer Engineering in Research Trends","http://ijcert.org/","ind_journal","http://ijcert.org/Current_Issues.php?year=2016&&type=0"
"1745-0179","Bentham Open","http://benthamopen.com/","publisher","https://benthamopen.com/ABSTRACT/CPEMH-13-43"
"2231-0614","ScienceDomain International","http://www.sciencedomain.org/","publisher","http://www.sciencedomain.org/abstract/19252"
"2165-3402","Scientific Research Publishing","http://www.scirp.org/","publisher","http://www.scirp.org/journal/CategoryOfJournal.aspx?CategoryID=1"
"2249-894X","Review of Research","http://ror.isrj.org/","ind_journal","http://ror.isrj.org/"
"1874-4214","Bentham Open","http://benthamopen.com/","publisher","https://benthamopen.com/discontinued-titles.php"
"2166-4919","Scientific & Academic Publishing","http://www.sapub.org/journal/index.aspx","publisher","http://www.sapub.org/journal/journalsList.aspx?SubjectID=110"
"2305-3925","International Journal of Sciences","http://www.ijsciences.com/","ind_journal","https://www.ijsciences.com/"
"1738-7906","International Journal of Computer Science and Network Security","http://ijcsns.org/","ind_journal","http://ijcsns.org/index.htm"
"2278-3369","International Journal Advances in Social Science and Humanities ","http://www.ijassh.com/index.php","ind_journal","http://www.ijassh.com/index.php"
"2156-8456","Scientific Research Publishing","http://www.scirp.org/","publisher","http://www.scirp.org/journal/CategoryOfJournal.aspx?CategoryID=1"
"1758-3284","OA Publishing London","http://oapublishinglondon.com/index.php","publisher","http://www.oapublishinglondon.com/index.php"
"2156-8502","Scientific Research Publishing","http://www.scirp.org/","publisher","http://www.scirp.org/journal/CategoryOfJournal.aspx?CategoryID=1"
"1544-8037","International Academy of Business & Economics","http://www.iabe.org/","publisher","http://ejbr-journal.org/domains/EJBR-JOURNAL/Default.aspx"
"2152-7385","Scientific Research Publishing","http://www.scirp.org/","publisher","http://www.scirp.org/journal/CategoryOfJournal.aspx?CategoryID=8"
"1312-885X","Hikari Ltd.","http://www.m-hikari.com/","publisher","http://www.m-hikari.com/ams/index.html"
"2151-4771","Scientific Research Publishing","http://www.scirp.org/","publisher","http://www.scirp.org/journal/CategoryOfJournal.aspx?CategoryID=9"
"2155-9880","OMICS International","http://www.omicsonline.org/","publisher","https://www.omicsonline.org/ArchiveJCEC/currentissue-clinical-experimental-cardiology-open-access.php"
"2010-376X","World Academy of Science, Engineering and Technology","http://www.waset.org/publications.php","publisher","http://www.waset.org/Publications"
"1822-7864","Scientia Socialis","http://www.scientiasocialis.lt/?q=node/5","publisher","http://www.scientiasocialis.lt/pec/"
"2162-9412","Scientific & Academic Publishing","http://www.sapub.org/journal/index.aspx","publisher","http://www.sapub.org/journal/journalsList.aspx?SubjectID=108"
"2166-5400","Scientific & Academic Publishing","http://www.sapub.org/journal/index.aspx","publisher","http://www.sapub.org/journal/journalsList.aspx?SubjectID=110"
"1757-899X","International Journal of Computer Science and Information Security","https://sites.google.com/site/ijcsis/","ind_journal","https://sites.google.com/site/ijcsis/google-scholar"
"2220-8488","American International Journal of Contemporary Research","http://aijcrnet.com/","ind_journal","http://www.aijcrnet.com/index.php/journals-link"
"2156-8561","Scientific Research Publishing","http://www.scirp.org/","publisher","http://www.scirp.org/journal/CategoryOfJournal.aspx?CategoryID=5"
"2165-3410","Scientific Research Publishing","http://www.scirp.org/","publisher","http://www.scirp.org/journal/CategoryOfJournal.aspx?CategoryID=1"
"0026-1394","International Agency for Development of Culture, Education and Science","http://iadces.com/","publisher","https://iadces.com/"
"0098-2202","International Agency for Development of Culture, Education and Science","http://iadces.com/","publisher","https://iadces.com/"
"1874-2858","Bentham Open","http://benthamopen.com/","publisher","https://benthamopen.com/ABSTRACT/TOMICROJ-11-72"
"0264-4401","International Agency for Development of Culture, Education and Science","http://iadces.com/","publisher","https://iadces.com/"
"1424-8247","Generics and Biosimilars Initiative Journal","http://gabi-journal.net/","ind_journal","http://gabi-journal.net/what-lessons-can-be-learnt-from-the-launch-of-generic-clopidogrel.html"
"2278-4357","World Journal of Pharmaceutical and Life Sciences","http://wjpls.org/home","ind_journal","http://wjpls.org/home"
"2156-8359","Scientific Research Publishing","http://www.scirp.org/","publisher","http://www.scirp.org/journal/CategoryOfJournal.aspx?CategoryID=5"
"2160-0414","Scientific Research Publishing","http://www.scirp.org/","publisher","http://www.scirp.org/journal/CategoryOfJournal.aspx?CategoryID=5"
"2162-139X","American International Journal of Contemporary Research","http://aijcrnet.com/","ind_journal","http://aijcrnet.com/"
"2162-142X","American International Journal of Contemporary Research","http://aijcrnet.com/","ind_journal","http://aijcrnet.com/"
"2222-1808","Asian Pacific Journal of Tropical Disease","http://www.apjtcm.com/","ind_journal","http://www.apjtcm.com/header.html"
"0031-9120","International Agency for Development of Culture, Education and Science","http://iadces.com/","publisher","https://iadces.com/"
"1796-217X","Journal of Software","http://www.jsoftware.us/","ind_journal","http://www.jsoftware.us/"
"2221-0989","American International Journal of Contemporary Research","http://aijcrnet.com/","ind_journal","http://www.aijcrnet.com/index.php/journals-link"
"2225-2436","International Journal of Business and Commerce","http://www.ijbcnet.com/","ind_journal","http://www.ijbcnet.com/"
"1726-5479","Sensors & Transducers Journal","http://www.sensorsportal.com/HTML/DIGEST/Journal_Subscription.htm","ind_journal","http://www.sensorsportal.com/HTML/DIGEST/Journal_Subscription.htm"
"2221-0997","American International Journal of Contemporary Research","http://aijcrnet.com/","ind_journal","http://www.aijcrnet.com/index.php/journals-link"
"1687-1499","International Journal of Computer Science and Information Security","https://sites.google.com/site/ijcsis/","ind_journal","https://sites.google.com/site/ijcsis/google-scholar"
"1947-3931","Scientific Research Publishing","http://www.scirp.org/","publisher","http://www.scirp.org/journal/CategoryOfJournal.aspx?CategoryID=6"
"2166-4633","Scientific & Academic Publishing","http://www.sapub.org/journal/index.aspx","publisher","http://www.sapub.org/journal/journalsList.aspx?SubjectID=107"
"2166-479X","Scientific & Academic Publishing","http://www.sapub.org/journal/index.aspx","publisher","http://www.sapub.org/journal/journalsList.aspx?SubjectID=110"
"0195-0738","International Agency for Development of Culture, Education and Science","http://iadces.com/","publisher","https://iadces.com/"
"0975-6299","International Journal of Clinical and Diagnostic Research","http://ijcdr.net/index.php","ind_journal","http://ijcdr.net/index.php"
"1555-1296","International Academy of Business & Economics","http://www.iabe.org/","publisher","http://ejbr-journal.org/domains/EJBR-JOURNAL/Default.aspx"
"1925-2676","Cyber Journals","http://www.cyberjournals.com/","publisher","http://www.cyberjournals.com/"
"2160-0392","Scientific Research Publishing","http://www.scirp.org/","publisher","http://www.scirp.org/journal/CategoryOfJournal.aspx?CategoryID=3"
"2286-4822","European Academic Research","http://www.euacademic.org/Default.aspx","ind_journal","http://www.euacademic.org/Default.aspx"
"2319-7706","International Journal of Current Microbiology and Applied Sciences","http://www.ijcmas.com/","ind_journal","http://www.ijcmas.com/"
"0975-8887","International Journal of Computer Applications","http://www.ijcaonline.org/","ind_journal","http://www.ijcaonline.org/issn"
"2156-8278","Scientific Research Publishing","http://www.scirp.org/","publisher","http://www.scirp.org/journal/CategoryOfJournal.aspx?CategoryID=3"
"2161-6620","Scientific Research Publishing","http://www.scirp.org/","publisher","http://www.scirp.org/journal/CategoryOfJournal.aspx?CategoryID=1"
"2167-9495","Scientific Research Publishing","http://www.scirp.org/","publisher","http://www.scirp.org/journal/CategoryOfJournal.aspx?CategoryID=5"
"2227-2712","International Journals of Engineering & Sciences","http://www.ijens.org/","publisher","http://www.ijens.org/"
"2277-3754","International Journal of Engineering and Innovative Technology","http://ijeit.com/index.php","ind_journal","http://www.ijeit.com/index.php"
"0261-4189","Scientific Online Publishing","http://www.scipublish.com/","publisher","http://www.scipublish.com/journals/ALSH/editorials"
"0974-5211","Journal of Natural Products","http://journalofnaturalproducts.com/","ind_journal","http://journalofnaturalproducts.com/"
"0975-5276","BioInfo Publications","http://www.bioinfopublication.org/","publisher","https://www.bioinfopublication.org/journal.php?opt=index&jouid=BPJ0000234"
"1874-1231","Bentham Open","http://benthamopen.com/","publisher","https://benthamopen.com/browse-by-subject/S9/1/"
"1874-3153","Bentham Open","http://benthamopen.com/","publisher","https://benthamopen.com/discontinued-titles.php"
"2157-7013","OMICS International","http://www.omicsonline.org/","publisher","https://www.omicsonline.org/cell-science-therapy.php"
"2076-734X","Academic Research Publishing Agency","http://www.arpapress.com/","publisher","http://www.arpapress.com/"
"2165-8846","Scientific & Academic Publishing","http://www.sapub.org/journal/index.aspx","publisher","http://www.sapub.org/journal/journalsList.aspx?SubjectID=109"
"1022-6680","Gyancity Research Lab Private Limited","http://gyancity.com/","publisher","http://gyancity.com/journals.html"
"1743-3533","WIT Press","http://www.witpress.com/","publisher","https://www.witpress.com/elibrary/wit-transactions-on-engineering-sciences"
"2169-8791","Scientific & Academic Publishing","http://www.sapub.org/journal/index.aspx","publisher","http://www.sapub.org/journal/journalsList.aspx?SubjectID=115"
"0952-4746","International Agency for Development of Culture, Education and Science","http://iadces.com/","publisher","https://iadces.com/"
"0973-6263","e-journal","http://worldresearchjournals.com/","publisher","https://worldresearchjournals.com/"
"0976-044X","International Journal of Pharmaceutical Sciences Review and Research","http://www.globalresearchonline.net/","ind_journal","http://www.globalresearchonline.net/"
"1234-5678","EPRA Journals","http://eprajournals.com/","publisher","http://eprajournals.com/journals.php?jid=5"
"0305-215X","International Agency for Development of Culture, Education and Science","http://iadces.com/","publisher","https://iadces.com/"
"1478-3967","International Agency for Development of Culture, Education and Science","http://iadces.com/","publisher","https://iadces.com/"
"1874-3188","Bentham Open","http://benthamopen.com/","publisher","https://benthamopen.com/discontinued-titles.php"
"2162-8440","Scientific & Academic Publishing","http://www.sapub.org/journal/index.aspx","publisher","http://www.sapub.org/journal/journalsList.aspx?SubjectID=108"
"2315-5094","Global Advanced Research Journals","http://garj.org/","publisher","http://garj.org/garjas/5/2017/6/5/relation-between-soil-organic-matter-and-soil-physical-properties"
"0022-1376","International Agency for Development of Culture, Education and Science","http://iadces.com/","publisher","https://iadces.com/"
"1874-1924","Bentham Open","http://benthamopen.com/","publisher","https://benthamopen.com/FULLTEXT/TOCMJ-11-58"
"2219-6021","American International Journal of Contemporary Research","http://aijcrnet.com/","ind_journal","http://www.aijcrnet.com/index.php/journals-link"
"2231-0886","ScienceDomain International","http://www.sciencedomain.org/","publisher","http://www.sciencedomain.org/announcement/index-medicus-selected-15-sdi-journals"
"1313-9495","Hikari Ltd.","http://www.m-hikari.com/","publisher","http://www.m-hikari.com/asb/index.html"
"1553-9563","International Academy of Business & Economics","http://www.iabe.org/","publisher","http://ejbr-journal.org/domains/EJBR-JOURNAL/Default.aspx"
"1743-3509","WIT Press","http://www.witpress.com/","publisher","https://www.witpress.com/elibrary/wit-transactions-on-the-built-environment"
"1743-7601","WIT Press","http://www.witpress.com/","publisher","https://www.witpress.com/journals/sdp"
"1754-5048","International Network for Natural Sciences","http://www.innspub.net/","publisher","http://www.innspub.net/ijmm/tree-macrofungal-diversity-two-different-habitat-types-mt-makiling-forest-reserve/"
"1940-6223","International Journal of Applied Research in Natural Products","http://www.ijarnp.org/index.php/ijarnp","ind_journal","http://www.ijarnp.org/index.php/ijarnp"
"2231-0894","ScienceDomain International","http://www.sciencedomain.org/","publisher","http://www.sciencedomain.org/abstract/19228"
"2334-1009","Research (French version)","http://www.labome.fr/","ind_journal","http://www.labome.fr/"
"1742-2132","International Agency for Development of Culture, Education and Science","http://iadces.com/","publisher","https://iadces.com/"
"1874-8465","Bentham Open","http://benthamopen.com/","publisher","https://benthamopen.com/discontinued-titles.php"
"1949-243X","Scientific Research Publishing","http://www.scirp.org/","publisher","http://www.scirp.org/journal/CategoryOfJournal.aspx?CategoryID=6"
"1990-6145","ARPN Journals","http://arpnjournals.com/","publisher","http://www.arpnjournals.com/jabs/index.htm"
"2319-8753","International Journal of Engineering and Computer Science","http://www.ijecs.in/","ind_journal","http://www.ijecs.in/index.php/current-issue/2266-design-materials-production-fem-and-experimental-analysis-of-an-i-c-engine-crankshaft-a-review"
"0007-1323","International Agency for Development of Culture, Education and Science","http://iadces.com/","publisher","https://iadces.com/"
"0965-0393","International Agency for Development of Culture, Education and Science","http://iadces.com/","publisher","https://iadces.com/"
"1442-9071","International Journal of Pediatrics","http://ijp.mums.ac.ir/","ind_journal","http://www.icmje.org/journals-following-the-icmje-recommendations/"
"1556-6013","Scientific Online Publishing","http://www.scipublish.com/","publisher","http://www.scipublish.com/journals/ABSE/editorials"
"1743-761X","WIT Press","http://www.witpress.com/","publisher","https://www.witpress.com/journals/sdp"
"1874-3129","Bentham Open","http://benthamopen.com/","publisher","https://benthamopen.com/FULLTEXT/TORJ-11-62"
"2165-8951","Modern Scientific Press","http://modernscientificpress.com/","publisher","http://modernscientificpress.com/Journals.aspx"
"2219-1933","American International Journal of Contemporary Research","http://aijcrnet.com/","ind_journal","http://www.aijcrnet.com/index.php/journals-link"
"2319-183X","International Refereed Journal of Engineering and Science","http://www.irjes.com/","ind_journal","http://www.irjes.com/"
"2320-1355","Journal of Global Biosciences","http://www.mutagens.co.in/","ind_journal","http://www.mutagens.co.in/"
"2333-3650","IBIMA Publishing","http://www.ibimapublishing.com/","publisher","http://ibimapublishing.com/journals/journal-of-research-and-practice-in-dentistry/"
"2333-9187","Ethan Publishing Company","http://www.ethanpublishing.com/","publisher","http://www.ethanpublishing.com/index.php?m=content&c=index&a=lists&catid=11"
"0268-8697","International Agency for Development of Culture, Education and Science","http://iadces.com/","publisher","https://iadces.com/"
"0733-8716","International Journal of Computer Engineering in Research Trends","http://ijcert.org/","ind_journal","http://ijcert.org/Current_Issues.php?year=2016&&type=0"
"0960-1317","International Agency for Development of Culture, Education and Science","http://iadces.com/","publisher","https://iadces.com/"
"0975-4873","International Journal of Pharmacognosy and Phytochemical Research","http://ijppr.com/","ind_journal","http://ijppr.com/"
"1094-6977","Scientific Online Publishing","http://www.scipublish.com/","publisher","http://www.scipublish.com/journals/ABSE/editorials"
"1874-6136","Bentham Open","http://benthamopen.com/","publisher","https://benthamopen.com/browse-by-title/A/1/"
"1937-8238","Internet Scientific Publications","http://www.ispub.com/","publisher","http://ispub.com/IJDS"
"2077-1223","International Journals of Engineering & Sciences","http://www.ijens.org/","publisher","http://www.ijens.org/"
"2077-1258","International Journals of Engineering & Sciences","http://www.ijens.org/","publisher","http://www.ijens.org/"
"2155-9600","OMICS International","http://www.omicsonline.org/","publisher","https://www.omicsonline.org/ArchiveJNFS/currentissue-nutrition-food-sciences-open-access.php"
"2162-1357","American International Journal of Contemporary Research","http://aijcrnet.com/","ind_journal","http://www.aijcrnet.com/index.php/journals-link"
"2163-1123","Scientific & Academic Publishing","http://www.sapub.org/journal/index.aspx","publisher","http://www.sapub.org/journal/journalsList.aspx?SubjectID=103"
"2166-5168","Scientific & Academic Publishing","http://www.sapub.org/journal/index.aspx","publisher","http://www.sapub.org/journal/journalsList.aspx?SubjectID=108"
"2250-3021","International Journal of Computer Engineering in Research Trends","http://ijcert.org/","ind_journal","http://ijcert.org/Current_Issues.php?year=2016&&type=0"
"2315-5159","Global Advanced Research Journals","http://garj.org/","publisher","http://garj.org/garjmms/5/2017/6/5/the-relationship-between-dyspepsia-and-h-pylori-infection-in-southern-ethiopia"
"2333-9721","Open Access Library","http://www.oalib.com/","publisher","http://www.oalib.com/journal/"
"2347-212X","Journal of Applied Biology & Biotechnology ","http://jabonline.in/","ind_journal","http://jabonline.in/"
"0742-4795","International Agency for Development of Culture, Education and Science","http://iadces.com/","publisher","https://iadces.com/"
"1058-3912","Journal of Environmental Hydrology","http://www.hydroweb.com/journal-hydrology.html","ind_journal","http://www.hydroweb.com/journal-hydrology.html"
"2028-3997","Mediterranean Journal of Chemistry","http://www.medjchem.com/index.php/medjchem/index","ind_journal","http://www.medjchem.com/index.php/medjchem/index"
"2072-1439","AME Publishing Company","http://www.amepc.org/","publisher","http://www.amepc.org/"
"2152-7245","Scientific Research Publishing","http://www.scirp.org/","publisher","http://www.scirp.org/journal/CategoryOfJournal.aspx?CategoryID=2"
"2152-7393","Scientific Research Publishing","http://www.scirp.org/","publisher","http://www.scirp.org/journal/CategoryOfJournal.aspx?CategoryID=8"
"2156-8367","Scientific Research Publishing","http://www.scirp.org/","publisher","http://www.scirp.org/journal/CategoryOfJournal.aspx?CategoryID=5"
"2160-0422","Scientific Research Publishing","http://www.scirp.org/","publisher","http://www.scirp.org/journal/CategoryOfJournal.aspx?CategoryID=5"
"2162-531X","Scientific Research Publishing","http://www.scirp.org/","publisher","http://www.scirp.org/journal/CategoryOfJournal.aspx?CategoryID=3"
"2168-1589","Scientific Research Publishing","http://www.scirp.org/","publisher","http://www.scirp.org/journal/CategoryOfJournal.aspx?CategoryID=7"
"2249-4626","International Journal of Engineering Maths and Computer Science","http://ijemcs.in/index.php/ijemcs","ind_journal","http://ijemcs.in/index.php/ijemcs/article/view/27"
"2331-1991","Scientific Research Publishing","http://www.scirp.org/","publisher","http://www.scirp.org/journal/CategoryOfJournal.aspx?CategoryID=1"
"1555-2411","International Academy of Business & Economics","http://www.iabe.org/","publisher","http://ejbr-journal.org/domains/EJBR-JOURNAL/Default.aspx"
"1652-8034","Bentham Open","http://benthamopen.com/","publisher","https://benthamopen.com/discontinued-titles.php"
"1874-2556","Bentham Open","http://benthamopen.com/","publisher","https://benthamopen.com/discontinued-titles.php"
"1876-391X","Bentham Open","http://benthamopen.com/","publisher","https://benthamopen.com/discontinued-titles.php"
"1927-5196","Lifescience Global","http://www.lifescienceglobal.com/","publisher","http://www.lifescienceglobal.com/journals/journal-of-buffalo-science"
"1930-739X","International Journal of Pediatrics","http://ijp.mums.ac.ir/","ind_journal","http://www.icmje.org/journals-following-the-icmje-recommendations/"
"2077-1185","International Journals of Engineering & Sciences","http://www.ijens.org/","publisher","http://www.ijens.org/"
"2163-2405","Scientific & Academic Publishing","http://www.sapub.org/journal/index.aspx","publisher","http://www.sapub.org/journal/journalsList.aspx?SubjectID=106"
"2164-5167","Scientific Research Publishing","http://www.scirp.org/","publisher","http://www.scirp.org/journal/CategoryOfJournal.aspx?CategoryID=2"
"2166-5389","Scientific & Academic Publishing","http://www.sapub.org/journal/index.aspx","publisher","http://www.sapub.org/journal/journalsList.aspx?SubjectID=110"
"2278-067X","International Journal of Engineering Research and Development","http://www.ijerd.com/","ind_journal","http://www.ijerd.com/"
"2327-5952","Scientific Research Publishing","http://www.scirp.org/","publisher","http://www.scirp.org/journal/CategoryOfJournal.aspx?CategoryID=2"
"0199-6231","International Agency for Development of Culture, Education and Science","http://iadces.com/","publisher","https://iadces.com/"
"1048-9002","International Agency for Development of Culture, Education and Science","http://iadces.com/","publisher","https://iadces.com/"
"1479-3261","International Agency for Development of Culture, Education and Science","http://iadces.com/","publisher","https://iadces.com/"
"1553-992X","Marsland Press","http://www.sciencepub.net/","publisher","http://www.sciencepub.net/academia/"
"1874-091X","Bentham Open","http://benthamopen.com/","publisher","https://benthamopen.com/ABSTRACT/TOBIOCJ-11-36"
"1927-3037","Lifescience Global","http://www.lifescienceglobal.com/","publisher","http://www.lifescienceglobal.com/journals/international-journal-of-biotechnology-for-wellness-industries"
"1929-5995","Lifescience Global","http://www.lifescienceglobal.com/","publisher","http://www.lifescienceglobal.com/journals/journal-of-research-updates-in-polymer-science"
"2161-9549","International Agency for Development of Culture, Education and Science","http://iadces.com/","publisher","https://iadces.com/"
"2167-9509","Scientific Research Publishing","http://www.scirp.org/","publisher","http://www.scirp.org/journal/CategoryOfJournal.aspx?CategoryID=5"
"2169-8759","Scientific & Academic Publishing","http://www.sapub.org/journal/index.aspx","publisher","http://www.sapub.org/journal/journalsList.aspx?SubjectID=115"
"2221-8386","International Journal of Science and Advanced Technology","http://www.ijsat.com/","ind_journal","http://www.ijsat.com/"
"2231-3184","Scholars Research Library","http://scholarsresearchlibrary.com/","publisher","http://www.scholarsresearchlibrary.com/"
"2249-4340","AD Publication","http://www.adpublication.org/","publisher","http://www.adpublication.org/Journal.aspx?JID=29"
"2250-0480","International Journal of Life science and Pharma Research","http://www.ijlpr.com/","ind_journal","http://www.ijlpr.com/"
"2333-9179","Ethan Publishing Company","http://www.ethanpublishing.com/","publisher","http://www.ethanpublishing.com/index.php?m=content&c=index&a=lists&catid=11"
"2333-9705","Open Access Library","http://www.oalib.com/","publisher","http://www.oalib.com/journal/"
"2372-0972","Symbiosis ","http://symbiosisonlinepublishing.com/index.php","publisher","https://symbiosisonlinepublishing.com/index.php"
"0033-5770","International Agency for Development of Culture, Education and Science","http://iadces.com/","publisher","https://iadces.com/"
"0034-4885","International Agency for Development of Culture, Education and Science","http://iadces.com/","publisher","https://iadces.com/"
"0954-6820","International Journal of Pediatrics","http://ijp.mums.ac.ir/","ind_journal","http://www.icmje.org/journals-following-the-icmje-recommendations/"
"0974-2441","Innovare Academic Sciences","http://innovareacademics.in/","publisher","https://innovareacademics.in/journals.php"
"1009-0630","International Agency for Development of Culture, Education and Science","http://iadces.com/","publisher","https://iadces.com/"
"1314-7552","Hikari Ltd.","http://www.m-hikari.com/","publisher","http://www.m-hikari.com/ams/index.html"
"1545-0740","Marsland Press","http://www.sciencepub.net/","publisher","http://www.sciencepub.net/nature/"
"1555-4015","International Academy of Business & Economics","http://www.iabe.org/","publisher","http://ejbr-journal.org/domains/EJBR-JOURNAL/Default.aspx"
"1836-1935","Australasian Medical Journal","http://www.amj.net.au/index.php?journal=AMJ","ind_journal","http://www.amj.net.au/index.php?journal=AMJ"
"1927-7229","Lifescience Global","http://www.lifescienceglobal.com/","publisher","http://www.lifescienceglobal.com/journals/journal-of-analytical-oncology"
"1929-6029","Lifescience Global","http://www.lifescienceglobal.com/","publisher","http://www.lifescienceglobal.com/journals/international-journal-of-statistics-in-medical-research"
"1947-3818","Scientific Research Publishing","http://www.scirp.org/","publisher","http://www.scirp.org/journal/CategoryOfJournal.aspx?CategoryID=6"
"2161-0525","OMICS International","http://www.omicsonline.org/","publisher","https://www.omicsonline.org/ArchiveJEAT/currentissue-environmental-analytical-toxicology-open-access.php"
"2162-9463","Scientific & Academic Publishing","http://www.sapub.org/journal/index.aspx","publisher","http://www.sapub.org/journal/journalsList.aspx?SubjectID=115"
"2165-882X","Scientific & Academic Publishing","http://www.sapub.org/journal/index.aspx","publisher","http://www.sapub.org/journal/journalsList.aspx?SubjectID=109"
"2166-5885","Scientific & Academic Publishing","http://www.sapub.org/journal/index.aspx","publisher","http://www.sapub.org/journal/journalsList.aspx?SubjectID=109"
"2235-767X","European Journal of Business and Social Sciences","http://www.ejbss.com/home.aspx","ind_journal","http://www.ejbss.com/home.aspx"
"2306-7691","World Academic Publishing","http://www.academicpub.org/","publisher","http://www.academicpub.org/jwrhe/Issue.aspx?Abstr=false"
"0974-5793","Serials Publications","http://www.serialsjournals.com/","publisher","http://www.serialsjournals.com/journal-detail.php?journals_id=238"
"1313-1311","Hikari Ltd.","http://www.m-hikari.com/","publisher","http://www.m-hikari.com/atam/index.html"
"1476-5381","International Agency for Development of Culture, Education and Science","http://iadces.com/","publisher","https://iadces.com/"
"1741-2560","International Agency for Development of Culture, Education and Science","http://iadces.com/","publisher","https://iadces.com/"
"1874-1436","Bentham Open","http://benthamopen.com/","publisher","https://benthamopen.com/discontinued-titles.php"
"1874-3315","Bentham Open","http://benthamopen.com/","publisher","https://benthamopen.com/browse-by-title/A/1/"
"1875-0354","Bentham Open","http://benthamopen.com/","publisher","https://benthamopen.com/discontinued-titles.php"
"1875-0427","Bentham Open","http://benthamopen.com/","publisher","https://benthamopen.com/discontinued-titles.php"
"1875-399X","Bentham Open","http://benthamopen.com/","publisher","https://benthamopen.com/FULLTEXT/TOSSJ-10-97"
"1929-7106","International Journal of Arts and Commerce","http://www.ijac.org.uk/","ind_journal","http://www.ijac.org.uk/"
"1945-2950","International Academy of Business & Economics","http://www.iabe.org/","publisher","http://ejbr-journal.org/domains/EJBR-JOURNAL/Default.aspx"
"2041-6792","Open Access Journals","http://www.openaccessjournals.com/","publisher","http://www.openaccessjournals.com/journals/clinical-investigation.html"
"2063-5346","European Chemical Bulletin","http://www.eurchembull.com/index.php/ECB","ind_journal","http://www.eurchembull.com/index.php/ECB"
"2071-7024","Elewa Bio Sciences","http://www.m.elewa.org/index.php","publisher","http://www.m.elewa.org/econference.php"
"2160-0406","Scientific Research Publishing","http://www.scirp.org/","publisher","http://www.scirp.org/journal/CategoryOfJournal.aspx?CategoryID=3"
"2277-4149","International Research Journal of Pharmaceutical and Applied Sciences","http://www.irjpas.com/","ind_journal","http://www.irjpas.com/"
"2277-4998","International Journal of Biology, Pharmacy and Allied Sciences","http://www.ijbpas.com/","ind_journal","http://www.ijbpas.com/"
"2319-5967","International Journal of Engineering Science and Innovative Technology","http://www.ijesit.com/","ind_journal","http://www.ijesit.com/"
