Title20;ISO_ABBREV;TITLE;ISSN
AIDS RES HUM RETROV;Aids Res. Hum. Retrovir.;AIDS RESEARCH AND HUMAN RETROVIRUSES;0889-2229
AIDS RES HUM RETROV;Aids Res. Hum. Retrovir.;AIDS RESEARCH AND HUMAN RETROVIRUSES;0889-2229
AJAR-AFR J AIDS RES;AJAR-Afr. J. Aids Res.;AJAR-African Journal of AIDS Research;1608-5906
COMPUT GEOTECH;Comput. Geotech.;COMPUTERS AND GEOTECHNICS;0266-352X
COMPUT IND;Comput. Ind.;COMPUTERS IN INDUSTRY;0166-3615
COMPUT J;Comput. J.;COMPUTER JOURNAL;0010-4620
COMPUT LANG SYST STR;Comput. Lang. Syst. Struct.;COMPUTER LANGUAGES SYSTEMS & STRUCTURES;1477-8424
COMPUT LINGUIST;Comput. Linguist.;COMPUTATIONAL LINGUISTICS;0891-2017
COMPUT-AIDED CIV INF;Comput.-Aided Civil Infrastruct. Eng.;COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING;1093-9687
CONCEPT MAGN RESON B;Concepts Magn. Reson. Part B;CONCEPTS IN MAGNETIC RESONANCE PART B-MAGNETIC RESONANCE ENGINEERING;1552-5031
APPL SCI-BASEL;Appl. Sci.-Basel;Applied Sciences-Basel;2076-3417
APPL SCI-BASEL;Appl. Sci.-Basel;Applied Sciences-Basel;2076-3417
APPL SOIL ECOL;Appl. Soil Ecol.;APPLIED SOIL ECOLOGY;0929-1393
APPL SPECTROSC;Appl. Spectrosc.;APPLIED SPECTROSCOPY;0003-7028
APPL SPECTROSC REV;Appl. Spectrosc. Rev.;APPLIED SPECTROSCOPY REVIEWS;0570-4928
APPL STOCH MODEL BUS;Appl. Stoch. Models. Bus. Ind.;APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY;1524-1904
APPL SURF SCI;Appl. Surf. Sci.;APPLIED SURFACE SCIENCE;0169-4332
APPL SURF SCI;Appl. Surf. Sci.;APPLIED SURFACE SCIENCE;0169-4332
AQUAT BOT;Aquat. Bot.;AQUATIC BOTANY;0304-3770
AQUAT CONSERV;Aquat. Conserv.-Mar. Freshw. Ecosyst.;AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS;1052-7613
AQUAT SCI;Aquat. Sci.;AQUATIC SCIENCES;1015-1621
AQUAT SCI;Aquat. Sci.;AQUATIC SCIENCES;1015-1621
DRUG TEST ANAL;Drug Test. Anal.;Drug Testing and Analysis;1942-7603
DRUG TEST ANAL;Drug Test. Anal.;Drug Testing and Analysis;1942-7603
E MEDITERR HEALTH J;East Mediterr. Health J.;EASTERN MEDITERRANEAN HEALTH JOURNAL;1020-3397
EARTH ENV SCI T R SO;Earth Environ. Sci. Trans. R. Soc. Edinb.;Earth and Environmental Science Transactions of the Royal Society of Edinburgh;1755-6910
EARTH SURF PROC LAND;Earth Surf. Process. Landf.;EARTH SURFACE PROCESSES AND LANDFORMS;0197-9337
IRAN RED CRESCENT ME;Iran. Red Crescent Med. J.;Iranian Red Crescent Medical Journal;2074-1804
IRISH J AGR FOOD RES;Irish J. Agr. Food Res.;IRISH JOURNAL OF AGRICULTURAL AND FOOD RESEARCH;0791-6833
ISA T;ISA Trans.;ISA TRANSACTIONS;0019-0578
J SEISMOL;J. Seismol.;JOURNAL OF SEISMOLOGY;1383-4649
J SENS STUD;J. Sens. Stud.;JOURNAL OF SENSORY STUDIES;0887-8250
J SENSORS;J. Sens.;Journal of Sensors;1687-725X
J SEX MED;J. Sex. Med.;Journal of Sexual Medicine;1743-6095
J SHIP RES;J. Ship Res.;JOURNAL OF SHIP RESEARCH;0022-4502
J SHOULDER ELB SURG;J. Shoulder Elbow Surg.;JOURNAL OF SHOULDER AND ELBOW SURGERY;1058-2746
J SHOULDER ELB SURG;J. Shoulder Elbow Surg.;JOURNAL OF SHOULDER AND ELBOW SURGERY;1058-2746
J SHOULDER ELB SURG;J. Shoulder Elbow Surg.;JOURNAL OF SHOULDER AND ELBOW SURGERY;1058-2746
J SOC LEATH TECH CH;J. Soc. Leather Technol. Chem.;JOURNAL OF THE SOCIETY OF LEATHER TECHNOLOGISTS AND CHEMISTS;0144-0322
J SOFTW-EVOL PROC;J. Softw.-Evol. Proc.;Journal of Software-Evolution and Process;2047-7473
J SOIL WATER CONSERV;J. Soil Water Conserv.;JOURNAL OF SOIL AND WATER CONSERVATION;0022-4561
J SOLID STATE CHEM;J. Solid State Chem.;JOURNAL OF SOLID STATE CHEMISTRY;0022-4596
J SPECTR THEOR;J. Spectr. Theory;Journal of Spectral Theory;1664-039X
J SPECTROSC;J. Spectrosc.;Journal of Spectroscopy;2314-4920
J SPORT MED PHYS FIT;J. Sports Med. Phys. Fit.;JOURNAL OF SPORTS MEDICINE AND PHYSICAL FITNESS;0022-4707
J STAT MECH-THEORY E;J. Stat. Mech.-Theory Exp.;JOURNAL OF STATISTICAL MECHANICS-THEORY AND EXPERIMENT;1742-5468
J STAT MECH-THEORY E;J. Stat. Mech.-Theory Exp.;JOURNAL OF STATISTICAL MECHANICS-THEORY AND EXPERIMENT;1742-5468
J STAT SOFTW;J. Stat. Softw.;Journal of Statistical Software;1548-7660
J STROKE CEREBROVASC;J. Stroke Cerebrovasc. Dis.;Journal of Stroke & Cerebrovascular Diseases;1052-3057
GASTRIC CANCER;Gastric Cancer;Gastric Cancer;1436-3291
GASTROENTEROL CLIN N;Gastroenterol. Clin. North Am.;GASTROENTEROLOGY CLINICS OF NORTH AMERICA;0889-8553
GASTROENTEROL NURS;Gastroenterol. Nurs.;Gastroenterology Nursing;1042-895X
GASTROENTEROLOGY;Gastroenterology;GASTROENTEROLOGY;0016-5085
GAYANA BOT;Gayana Bot.;GAYANA BOTANICA;0717-6643
GEN COMP ENDOCR;Gen. Comp. Endocrinol.;GENERAL AND COMPARATIVE ENDOCRINOLOGY;0016-6480
GEN RELAT GRAVIT;Gen. Relativ. Gravit.;GENERAL RELATIVITY AND GRAVITATION;0001-7701
GENE DEV;Genes Dev.;GENES & DEVELOPMENT;0890-9369
GENES GENOM;Genes Genom.;Genes & Genomics;1976-9571
GENET MED;Genet. Med.;GENETICS IN MEDICINE;1098-3600
J CARDIOTHOR VASC AN;J. Cardiothorac. Vasc. Anesth.;JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA;1053-0770
J CARDIOVASC ELECTR;J. Cardiovasc. Electrophysiol.;JOURNAL OF CARDIOVASCULAR ELECTROPHYSIOLOGY;1045-3873
J CARDIOVASC SURG;J. Cardiovasc. Surg.;JOURNAL OF CARDIOVASCULAR SURGERY;0021-9509
J CARDIOVASC SURG;J. Cardiovasc. Surg.;JOURNAL OF CARDIOVASCULAR SURGERY;0021-9509
J CELL COMMUN SIGNAL;J. Cell Commun. Signal;Journal of Cell Communication and Signaling;1873-9601
J CHEM-NY;J. Chem.;Journal of Chemistry;2090-9063
J CHILD ORTHOP;J. Child. Orthop.;Journal of Childrens Orthopaedics;1863-2521
J CHIN MED ASSOC;J. Chin. Med. Assoc.;Journal of the Chinese Medical Association;1726-4901
J CHIN SOC MECH ENG;J. Chin. Soc. Mech. Eng.;Journal of the Chinese Society of Mechanical Engineers;0257-9731
J CHROMATOGR A;J. Chromatogr. A;JOURNAL OF CHROMATOGRAPHY A;0021-9673
J CHROMATOGR B;J. Chromatogr. B;JOURNAL OF CHROMATOGRAPHY B-ANALYTICAL TECHNOLOGIES IN THE BIOMEDICAL AND LIFE SCIENCES;1570-0232
CONSERV LETT;Conserv. Lett.;Conservation Letters;1755-263X
CONSERV PHYSIOL;Conserv. Physiol.;Conservation Physiology;2051-1434
CONSTR BUILD MATER;Constr. Build. Mater.;CONSTRUCTION AND BUILDING MATERIALS;0950-0618
CONSTRAINTS;Constraints;CONSTRAINTS;1383-7133
CONTINUUM MECH THERM;Continuum Mech. Thermodyn.;CONTINUUM MECHANICS AND THERMODYNAMICS;0935-1175
CONTRIB MINERAL PETR;Contrib. Mineral. Petrol.;CONTRIBUTIONS TO MINERALOGY AND PETROLOGY;0010-7999
HUM REPROD UPDATE;Hum. Reprod. Update;HUMAN REPRODUCTION UPDATE;1355-4786
HUM-COMPUT INTERACT;Hum.-Comput. Interact.;HUMAN-COMPUTER INTERACTION;0737-0024
HYDROMETALLURGY;Hydrometallurgy;HYDROMETALLURGY;0304-386X
HYPERTENSION;Hypertension;HYPERTENSION;0194-911X
IBIS;Ibis;IBIS;0019-1019
ICES J MAR SCI;ICES J. Mar. Sci.;ICES JOURNAL OF MARINE SCIENCE;1054-3139
IEEE ANTENN PROPAG M;IEEE Antennas Propag. Mag.;IEEE ANTENNAS AND PROPAGATION MAGAZINE;1045-9243
IEEE COMMUN LETT;IEEE Commun. Lett.;IEEE COMMUNICATIONS LETTERS;1089-7798
IEEE COMMUN MAG;IEEE Commun. Mag.;IEEE COMMUNICATIONS MAGAZINE;0163-6804
IEEE DES TEST;IEEE Des. Test;IEEE Design & Test;2168-2356
IEEE GEOSCI REMOTE S;IEEE Geosci. Remote Sens. Lett.;IEEE Geoscience and Remote Sensing Letters;1545-598X
IEEE IND APPL MAG;IEEE Ind. Appl. Mag.;IEEE INDUSTRY APPLICATIONS MAGAZINE;1077-2618
IEEE INSTRU MEAS MAG;IEEE Instrum. Meas. Mag.;IEEE INSTRUMENTATION & MEASUREMENT MAGAZINE;1094-6969
IEEE J BIOMED HEALTH;IEEE J. Biomed. Health Inform.;IEEE Journal of Biomedical and Health Informatics;2168-2194
AATCC J RES;AATCC J. Res.;AATCC Journal of Research;2330-5517
AATCC REV;AATCC Rev.;AATCC REVIEW;1532-8813
ACAD EMERG MED;Acad. Emerg. Med.;ACADEMIC EMERGENCY MEDICINE;1069-6563
ACM T ALGORITHMS;ACM Trans. Algorithms;ACM Transactions on Algorithms;1549-6325
INT J ENGINE RES;Int. J. Engine Res.;International Journal of Engine Research;1468-0874
INT J ENVIRON HEAL R;Int. J. Environ. Health Res.;INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH;0960-3123
INT J EXERGY;Int. J. Exergy;International Journal of Exergy;1742-8297
INT J FOOD ENG;Int. J. Food Eng.;International Journal of Food Engineering;2194-5764
INT J FOOD SCI NUTR;Int. J. Food Sci. Nutr.;INTERNATIONAL JOURNAL OF FOOD SCIENCES AND NUTRITION;0963-7486
INT J FOUND COMPUT S;Int. J. Found. Comput. Sci.;INTERNATIONAL JOURNAL OF FOUNDATIONS OF COMPUTER SCIENCE;0129-0541
INT J GEOGR INF SCI;Int. J. Geogr. Inf. Sci.;INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE;1365-8816
INT J GEOM METHODS M;Int. J. Geom. Methods Mod. Phys.;INTERNATIONAL JOURNAL OF GEOMETRIC METHODS IN MODERN PHYSICS;0219-8878
INT J HUM-COMPUT INT;Int. J. Hum.-Comput. Interact.;INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION;1044-7318
J SUPERCOMPUT;J. Supercomput.;JOURNAL OF SUPERCOMPUTING;0920-8542
J SUPERCOND NOV MAGN;J. Supercond. Nov. Magn;Journal of Superconductivity and Novel Magnetism;1557-1939
J SUPERHARD MATER+;J. Superhard Mater.;Journal of Superhard Materials;1063-4576
J SURG EDUC;J. Surg. Educ.;Journal of Surgical Education;1931-7204
J SURG RES;J. Surg. Res.;JOURNAL OF SURGICAL RESEARCH;0022-4804
J SYNCHROTRON RADIAT;J. Synchrot. Radiat.;JOURNAL OF SYNCHROTRON RADIATION;1600-5775
BIOORGAN MED CHEM;Bioorg. Med. Chem.;BIOORGANIC & MEDICINAL CHEMISTRY;0968-0896
BIOPHARM INT;Biopharm. Int.;BIOPHARM INTERNATIONAL;1542-166X
BIORESOURCE TECHNOL;Bioresour. Technol.;BIORESOURCE TECHNOLOGY;0960-8524
BIORESOURCE TECHNOL;Bioresour. Technol.;BIORESOURCE TECHNOLOGY;0960-8524
BIORESOURCES;BioResources;BioResources;1930-2126
BIOSEMIOTICS-NETH;Biosemiotics;Biosemiotics;1875-1342
BIOSENS BIOELECTRON;Biosens. Bioelectron.;BIOSENSORS & BIOELECTRONICS;0956-5663
BIOSENS BIOELECTRON;Biosens. Bioelectron.;BIOSENSORS & BIOELECTRONICS;0956-5663
BIOTECHNOL J;Biotechnol. J.;Biotechnology Journal;1860-6768
BIPOLAR DISORD;Bipolar Disord.;BIPOLAR DISORDERS;1398-5647
BMC BIOL;BMC Biol.;BMC BIOLOGY;1741-7007
BMC FAM PRACT;BMC Fam. Pract.;BMC Family Practice;1471-2296
BMC GENET;BMC Genet.;BMC GENETICS;1471-2156
BMC GENOMICS;BMC Genomics;BMC GENOMICS;1471-2164
BMC MED;BMC Med.;BMC Medicine;1741-7015
J CHROMATOGR SCI;J. Chromatogr. Sci.;JOURNAL OF CHROMATOGRAPHIC SCIENCE;0021-9665
J CIRCUIT SYST COMP;J. Circuits Syst. Comput.;JOURNAL OF CIRCUITS SYSTEMS AND COMPUTERS;0218-1266
J CLEAN PROD;J. Clean Prod.;JOURNAL OF CLEANER PRODUCTION;0959-6526
J CLIMATE;J. Clim.;JOURNAL OF CLIMATE;0894-8755
J CLIN ANESTH;J. Clin. Anesth.;JOURNAL OF CLINICAL ANESTHESIA;0952-8180
J CLIN NEUROSCI;J. Clin. Neurosci.;JOURNAL OF CLINICAL NEUROSCIENCE;0967-5868
J CLIN PEDIATR DENT;J. Clin. Pediatr. Dent.;Journal of Clinical Pediatric Dentistry;1053-4628
J CLIN PERIODONTOL;J. Clin. Periodontol.;JOURNAL OF CLINICAL PERIODONTOLOGY;0303-6979
LEPROSY REV;Lepr. Rev.;LEPROSY REVIEW;0305-7518
LETT MATH PHYS;Lett. Math. Phys.;LETTERS IN MATHEMATICAL PHYSICS;0377-9017
LEUKEMIA;Leukemia;LEUKEMIA;0887-6924
LIFE SCI;Life Sci.;LIFE SCIENCES;0024-3205
LIFE SCI;Life Sci.;LIFE SCIENCES;0024-3205
LIFETIME DATA ANAL;Lifetime Data Anal.;LIFETIME DATA ANALYSIS;1380-7870
LIMNOLOGICA;Limnologica;LIMNOLOGICA;0075-9511
LINEAR ALGEBRA APPL;Linear Alg. Appl.;LINEAR ALGEBRA AND ITS APPLICATIONS;0024-3795
LIPIDS HEALTH DIS;Lipids Health Dis.;Lipids in Health and Disease;1476-511X
LIPIDS HEALTH DIS;Lipids Health Dis.;Lipids in Health and Disease;1476-511X
LIQ CRYST REV;Liq. Cryst. Rev.;Liquid Crystals Reviews;2168-0396
LITH MATH J;Lith. Math. J.;Lithuanian Mathematical Journal;0363-1672
LITHOSPHERE-US;Lithosphere;Lithosphere;1941-8264
LITHOSPHERE-US;Lithosphere;Lithosphere;1941-8264
LIVER TRANSPLANT;Liver Transplant.;LIVER TRANSPLANTATION;1527-6465
LOG METH COMPUT SCI;Log. Meth. Comput. Sci.;Logical Methods in Computer Science;1860-5974
LOGOP PHONIATR VOCO;Logop. Phoniatr. Vocology.;Logopedics Phoniatrics Vocology;1401-5439
LUMINESCENCE;Luminescence;LUMINESCENCE;1522-7235
LYMPHOLOGY;Lymphology;LYMPHOLOGY;0024-7766
IEEE J SEL TOP QUANT;IEEE J. Sel. Top. Quantum Electron.;IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS;1077-260X
IEEE J-STARS;IEEE J. Sel. Top. Appl. Earth Observ. Remote Sens.;IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing;1939-1404
IEEE J-STSP;IEEE J. Sel. Top. Signal Process.;IEEE Journal of Selected Topics in Signal Processing;1932-4553
IEEE MICRO;IEEE Micro;IEEE MICRO;0272-1732
IEEE MICROW WIREL CO;IEEE Microw. Wirel. Compon. Lett.;IEEE MICROWAVE AND WIRELESS COMPONENTS LETTERS;1531-1309
IEEE NETWORK;IEEE Netw.;IEEE NETWORK;0890-8044
IEEE PHOTONICS J;IEEE Photonics J.;IEEE Photonics Journal;1943-0655
IEEE ROBOT AUTOM MAG;IEEE Robot. Autom. Mag.;IEEE ROBOTICS & AUTOMATION MAGAZINE;1070-9932
IEEE ROBOT AUTOM MAG;IEEE Robot. Autom. Mag.;IEEE ROBOTICS & AUTOMATION MAGAZINE;1070-9932
IEEE T AERO ELEC SYS;IEEE Trans. Aerosp. Electron. Syst.;IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS;0018-9251
J FOOD DRUG ANAL;J. Food Drug Anal.;JOURNAL OF FOOD AND DRUG ANALYSIS;1021-9498
J FOOD MEAS CHARACT;J. Food Meas. Charact.;Journal of Food Measurement and Characterization;2193-4126
J FOOT ANKLE SURG;J. Foot Ankle Surg.;Journal of Foot & Ankle Surgery;1067-2516
J FRANKLIN I;J. Frankl. Inst.-Eng. Appl. Math.;JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICS;0016-0032
J FRESHWATER ECOL;J. Freshw. Ecol.;JOURNAL OF FRESHWATER ECOLOGY;0270-5060
J FUNCT ANAL;J. Funct. Anal.;JOURNAL OF FUNCTIONAL ANALYSIS;0022-1236
J FUNCT PROGRAM;J. Funct. Program;JOURNAL OF FUNCTIONAL PROGRAMMING;0956-7968
J GASTRIC CANCER;J. Gasric Cancer;Journal of Gastric Cancer;2093-582X
J GEN PHYSIOL;J. Gen. Physiol.;JOURNAL OF GENERAL PHYSIOLOGY;0022-1295
J GEODESY;J. Geodesy;JOURNAL OF GEODESY;0949-7714
J GEODESY;J. Geodesy;JOURNAL OF GEODESY;0949-7714
J GEOTECH GEOENVIRON;J. Geotech. Geoenviron. Eng.;JOURNAL OF GEOTECHNICAL AND GEOENVIRONMENTAL ENGINEERING;1090-0241
INT J IMPACT ENG;Int. J. Impact Eng.;INTERNATIONAL JOURNAL OF IMPACT ENGINEERING;0734-743X
INT J IND ENG-THEORY;Int. J. Ind. Eng.-Theory Appl. Pract.;INTERNATIONAL JOURNAL OF INDUSTRIAL ENGINEERING-THEORY APPLICATIONS AND PRACTICE;1943-670X
INT J IND ERGONOM;Int. J. Ind. Ergon.;INTERNATIONAL JOURNAL OF INDUSTRIAL ERGONOMICS;0169-8141
INT J MACH TOOL MANU;Int. J. Mach. Tools Manuf.;INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE;0890-6955
INT J MARIT ENG;Int. J. Marit. Eng.;International Journal of Maritime Engineering;1479-8751
INT J MATER FORM;Int. J. Mater. Form.;International Journal of Material Forming;1960-6206
INT J MATER FORM;Int. J. Mater. Form.;International Journal of Material Forming;1960-6206
J NON-CRYST SOLIDS;J. Non-Cryst. Solids;JOURNAL OF NON-CRYSTALLINE SOLIDS;0022-3093
J NUMBER THEORY;J. Number Theory;JOURNAL OF NUMBER THEORY;0022-314X
J NURS EDUC;J. Nurs. Educ.;JOURNAL OF NURSING EDUCATION;0148-4834
J NUTR EDUC BEHAV;J. Nutr. Educ. Behav.;JOURNAL OF NUTRITION EDUCATION AND BEHAVIOR;1499-4046
J OIL PALM RES;J. Oil Palm Res.;Journal of Oil Palm Research;1511-2780
J OPER OCEANOGR;J. Oper. Oceanogr.;Journal of Operational Oceanography;1755-876X
J OPER RES SOC;J. Oper. Res. Soc.;JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY;0160-5682
BMC MICROBIOL;BMC Microbiol.;BMC MICROBIOLOGY;1471-2180
BMC MUSCULOSKEL DIS;BMC Musculoskelet. Disord.;BMC MUSCULOSKELETAL DISORDERS;1471-2474
BMC PEDIATR;BMC Pediatr.;BMC Pediatrics;1471-2431
BMC PULM MED;BMC Pulm. Med.;BMC Pulmonary Medicine;1471-2466
BMC SURG;BMC Surg.;BMC Surgery;1471-2482
BMC SYST BIOL;BMC Syst. Biol.;BMC Systems Biology;1752-0509
BMC WOMENS HEALTH;BMC Womens Health;BMC Womens Health;1472-6874
BONE JOINT J;Bone Joint J.;Bone & Joint Journal;2049-4394
BONE MARROW TRANSPL;Bone Marrow Transplant.;BONE MARROW TRANSPLANTATION;0268-3369
EUR J HUM GENET;Eur. J. Hum. Genet.;EUROPEAN JOURNAL OF HUMAN GENETICS;1018-4813
EUR J INFORM SYST;Eur. J. Inform. Syst.;EUROPEAN JOURNAL OF INFORMATION SYSTEMS;0960-085X
EUR J NEUROL;Eur. J. Neurol.;EUROPEAN JOURNAL OF NEUROLOGY;1351-5101
EUR J NUCL MED MOL I;Eur. J. Nucl. Med. Mol. Imaging;EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING;1619-7070
EUR J OBSTET GYN R B;Eur. J. Obstet. Gynecol. Reprod. Biol.;European Journal of Obstetrics & Gynecology and Reproductive Biology;0301-2115
EUR J OBSTET GYN R B;Eur. J. Obstet. Gynecol. Reprod. Biol.;European Journal of Obstetrics & Gynecology and Reproductive Biology;0301-2115
EUR J ORAL IMPLANTOL;Eur. J. Oral Implant.;European Journal of Oral Implantology;1756-2406
EUR J PEDIATR SURG;Eur. J. Pediatr. Surg.;EUROPEAN JOURNAL OF PEDIATRIC SURGERY;0939-7248
EUR J WILDLIFE RES;Eur. J. Wildl. Res.;EUROPEAN JOURNAL OF WILDLIFE RESEARCH;1612-4642
MADERAS-CIENC TECNOL;Maderas-Cienc. Tecnol.;Maderas-Ciencia y Tecnologia;0718-221X
MAG CONCRETE RES;Mag. Concr. Res.;MAGAZINE OF CONCRETE RESEARCH;0024-9831
MAGNESIUM RES;Magnes. Res.;MAGNESIUM RESEARCH;0953-1424
MAGNETOHYDRODYNAMICS;Magnetohydrodynamics;Magnetohydrodynamics;0024-998X
MAGY ALLATORVOSOK;Magy. Allatorv. Lapja;MAGYAR ALLATORVOSOK LAPJA;0025-004X
MALACOLOGIA;Malacologia;MALACOLOGIA;0076-2997
MALAWI MED J;Malawi Med. J.;Malawi Medical Journal;1995-7262
MANUSCRIPTA MATH;Manuscr. Math.;MANUSCRIPTA MATHEMATICA;0025-2611
MAR BIOL RES;Mar. Biol. Res.;Marine Biology Research;1745-1000
CHILD NEUROPSYCHOL;Child Neuropsychol.;CHILD NEUROPSYCHOLOGY;0929-7049
CHINA OCEAN ENG;China Ocean Eng.;CHINA OCEAN ENGINEERING;0890-5487
CHINESE J CHEM;Chin. J. Chem.;CHINESE JOURNAL OF CHEMISTRY;1001-604X
