Title	1.2 Titles[2]	2.1 ISSNs[1]	2.2 ISSNs[2]	3.1 Additional searchable ISSN (Electronic)[1]	jcr	jcr2	doaj	doaj2
Journal Advances in Social Sciences and Humanities	IJASSH	2347-7474			0		0	
British Journal of Medicine and Medical Research		2231-0614			0		0	
International Journal of Health Sciences and Research		2249-9571			0		0	
International Journal of Information and Education Technology	Int J Inf Educ Techno	2010-3689			0		0	
Asian Journal of Humanities and Social Studies		2321-2799			0		0	
Journal of Emerging Trends in Computing and Information Sciences		2079-8407			0		0	
Dialogue and Universalism		1234-5792			0		0	
Geron, tijdschrift vooroudern worden en maatschappij		1234-567X			0		0	
IEEE Transactions on Information Forensics and Security		1556-6013			2		0	
Journal of Energy Engineering	Journal of Energy Engineering - ASCE.	0733-9402			2		0	
The Open Dermatology Journal	Open Dermatol J	1874-3722			0		0	
Journal of Industrial and Intelligent Information		2301-3745			0		0	
EURASIP Journal on Wireless Communications and Networking	 EURASIP J Wirel Commun Netw	1687-1499	1687-1472	1687-1499	2	2	0	0
Obesity Reviews	Obes Rev	1467-7881	1467-789X	1467-789X	1	0	0	0
Frontiers in Bioscience (Landmark edition)	Front Biosci (Landmark Ed)	1093-9946		1093-4715	2	0	0	0
International Journal of Intelligent Systems and Applications(IJISA)		2074-904X		2074-9058	0	0	0	0
Translational Pediatrics	Transl Pediatr	2224-4336		2224-4344	0	0	0	0
Journal of Mechanisms and Robotics		1942-4302		1942-4310	2	0	0	0
Obesity		1930-7381		1930-739X	2	0	0	0
Biotechnology Journal	Biotechnol J	1860-6768		1860-7314	2	0	0	0
Freshwater Science	Freshw Sci	2161-9549		2161-9565	2	0	0	0
International Journal of Safety and Security Engineering 	Int.J. of Safety and Security Eng	2041-9031		2041-904X	0	0	0	0
Pediatric Blood and Cancer	Pediatr Blood Cancer	1545-5009		1545-5017	3	0	0	0
IOP Conference Series: Materials Science and Engineering		1757-8981		1757-899X	0	0	0	0
Journal of Thoracic Disease	J Thorac Dis	2072-1439	1817-1737	2077-6624	1	0	0	0
Journal of Thrombosis and Haemostasis	J Thromb Haemost	1538-7933		1538-7836	2	0	0	0
BJU International	BJU Int	1464-4096		1464-410X	1	0	0	0
Investment Management and Financial Innovations		1810-4967		1812-9358	0	0	1	0
Journal of Athletic Training	J Athl Training	1062-6050		1938-162X	1	0	0	0
Journal of Engineering for Gas Turbines and Power-transactions of the ASME	Journal of Engineering for Gas Turbines and Power	1528-8919	0742-4795		0		0	
Language and Literature		0963-9470		1461-7293	0	0	0	0
Transport Reviews		0144-1647		1464-5327	0	0	0	0
Medical Science Monitor	Med Sci Monit	1234-1010		1643-3750	0	1	0	0
Sport Sciences for Health	Sport Sci Health	1824-7490		1825-1234	0	0	0	0
EMBO Journal		0261-4189		1460-2075	2	0	0	0
Research Journal of BioTechnology		0973-6263		2278-4535	0	0	0	0
Medicine & Science in Sports & Exercise	Med Sci Sports Exerc	0195-9131		1530-0315	1	0	0	0
Journal of Internal Medicine		0954-6820		1365-2796	1	0	0	0
European Journal of Haematology	Eur J Haematol	0902-4441		1600-0609	1	0	0	0
British Educational Research Journal	British Educational Research Journal	0141-1926		1469-3518	0	0	0	0
Engineering Optimization		0305-215X		1029-0273	2	0	0	0
Clinical and Experimental Pharmacology and Physiology	Clin Exp Pharmacol Physiol	0305-1870		1440-1681	0	2	0	0
Journal of Radiological Protection	J Radiol Prot	0952-4746		1361-6498	4	0	0	0
Smart Materials and Structures		0964-1726		1361-665X	2	0	0	0
Journal of Pharmacy and Pharmacology	J Pharm Pharmacol	0022-3573		2042-7158	1	0	0	0
Respirology		1323-7799		1440-1843	1	0	0	0
Philosophy of Science		0031-8248		1539-767X	1	0	0	0
Neurourology and Urodynamics	Neurourol Urodyn	0733-2467		1520-6777	1	0	0	0
Journal of Pathology	J Pathol	0022-3417		1096-9896	2	0	0	0
APMIS		0903-4641		1600-0463	3	0	0	0
Semiconductor Science and Technology	Semicond. Sci. Technol.	0268-1242		1361-6641	3	0	0	0
Renaissance Quarterly		0034-4338		1935-0236	0	0	0	0
Biotechnology and Bioengineering	Biotechnol Bioeng	0006-3592		1097-0290	1	0	0	0
Transfusion	TRANSFUSION	0041-1132		1537-2995	1	0	0	0
Biotechnology Progress		8756-7938		1520-6033	2	0	0	0
Medical Education	Med Educ	0308-0110		1365-2923	2	0	0	0
Publications of the Astronomical Society of the Pacific		0004-6280		1538-3873	1	0	0	0
Journal of Micromechanics and Microengineering	J. Micromech. Microeng.	0960-1317		1361-6439	4	0	0	0
Journal of Biomechanical Engineering	J Biomech Eng	0148-0731		1528-8951	2	0	0	0
Applied Mechanics Reviews		0003-6900		2379-0407	1	0	0	0
Journal of Clinical Pharmacology	J. Clin. Pharmacol.	0091-2700		1552-4604	1	0	0	0
European Journal of Clinical Investigation		0014-2972		1365-2362	2	0	0	0
British Journal of Clinical Pharmacology		0306-5251		1365-2125	1	0	0	0
British Journal of Dermatology	Br J Dermatol	0007-0963		1365-2133	1	0	0	0
The Journal of Politics		0022-3816		1468-2508	0	0	0	0
British Journal of Pharmacology	Br. J. Pharmacol.	0007-1188		1476-5381	1	0	0	0
British Journal of Surgery		0007-1323		1365-2168	1	0	0	0
European Journal of Neurology	Eur J Neurol	1351-5101		1468-1331	2	0	0	0
European Journal of Oral Sciences		0909-8836		1600-0722	1	0	0	0
Wireless Personal Communications		0929-6212		1572-834X	1	0	0	0
Transplant International	Transpl Int	0934-0874		1432-2277	2	0	0	0
Nature and Science		1545-0740		2375-7167	0	0	0	0
British Journal of Haematology	Brit. J. Haematol	0007-1048		1365-2141	1	0	0	0
WIT Transactions on The Built Environment		1746-4498		1743-3509	0	0	0	0
The British Journal of Psychiatry		0007-1250		1472-1465	1	0	0	0
